Date,Date Value,High,Low,Open,Close,Volume,Adj Close
2/21/2019,43517,7.730000019,7.429999828,7.699999809,7.639999866,8060100,7.639999866
2/22/2019,43518,8.220000267,7.75,7.920000076,8.170000076,26600400,8.170000076
2/25/2019,43521,9.090000153,8.600000381,9.039999962,9,52424200,9
2/26/2019,43522,10.64000034,8.819999695,9.159999847,9.789999962,106022600,9.789999962
2/27/2019,43523,10.25,9.329999924,10.14999962,9.850000381,53234300,9.850000381
2/28/2019,43524,9.930000305,9.460000038,9.850000381,9.569999695,26506000,9.569999695
3/1/2019,43525,10.19999981,9.729999542,9.819999695,10.06000042,32409400,10.06000042
3/4/2019,43528,10.36999989,9.149999619,10.31999969,9.779999733,43753300,9.779999733
3/5/2019,43529,10.63000011,9.699999809,9.800000191,10.15999985,53680800,10.15999985
3/6/2019,43530,8.720000267,8,8.260000229,8.010000229,73522700,8.010000229
3/7/2019,43531,7.949999809,7,7.809999943,7.090000153,52469600,7.090000153
3/8/2019,43532,7.199999809,6.849999905,7.019999981,7.059999943,32040600,7.059999943
3/11/2019,43535,6.980000019,6.550000191,6.949999809,6.590000153,62544500,6.590000153
3/12/2019,43536,6.639999866,6.369999886,6.619999886,6.389999866,41616000,6.389999866
3/13/2019,43537,6.769999981,6.239999771,6.320000172,6.53000021,41727200,6.53000021
3/14/2019,43538,6.639999866,6,6.630000114,6.03000021,58983400,6.03000021
3/15/2019,43539,6.130000114,5.710000038,6.119999886,5.710000038,85777000,5.710000038
3/18/2019,43542,5.949999809,5.440000057,5.690000057,5.75,76506100,5.75
3/19/2019,43543,6.03000021,5.730000019,5.75,5.960000038,54509200,5.960000038
3/20/2019,43544,6.03000021,5.710000038,6.019999981,5.849999905,39053700,5.849999905
3/21/2019,43545,5.949999809,5.739999771,5.75,5.840000153,21368900,5.840000153
3/22/2019,43546,5.869999886,5.599999905,5.800000191,5.619999886,24956500,5.619999886
3/25/2019,43549,5.659999847,5.269999981,5.619999886,5.349999905,38993300,5.349999905
3/26/2019,43550,5.21999979,4.900000095,5.199999809,4.960000038,67206300,4.960000038
3/27/2019,43551,5.190000057,4.960000038,5.010000229,4.980000019,39753400,4.980000019
3/28/2019,43552,5.170000076,4.929999828,5.039999962,5.010000229,29281400,5.010000229
3/29/2019,43553,5.130000114,5.03000021,5.059999943,5.099999905,23595900,5.099999905
4/1/2019,43556,5.400000095,5.139999866,5.289999962,5.210000038,32404600,5.210000038
4/2/2019,43557,5.610000134,5.349999905,5.429999828,5.389999866,55814800,5.389999866
4/3/2019,43558,5.579999924,5.230000019,5.550000191,5.309999943,35197400,5.309999943
4/4/2019,43559,5.5,5.269999981,5.389999866,5.349999905,31696600,5.349999905
4/5/2019,43560,5.400000095,5.309999943,5.369999886,5.360000134,18093400,5.360000134
4/8/2019,43563,5.380000114,5.25,5.329999924,5.300000191,17349800,5.300000191
4/9/2019,43564,5.28000021,5.059999943,5.28000021,5.079999924,32590100,5.079999924
4/10/2019,43565,5.110000134,4.960000038,5.059999943,5.050000191,25958700,5.050000191
4/11/2019,43566,5.090000153,4.96999979,5,5.010000229,17642600,5.010000229
4/12/2019,43567,5.059999943,4.949999809,5.03000021,4.989999771,15561300,4.989999771
4/15/2019,43570,5,4.71999979,4.989999771,4.75,27489100,4.75
4/16/2019,43571,4.809999943,4.429999828,4.800000191,4.449999809,46354500,4.449999809
4/17/2019,43572,4.71999979,4.510000229,4.610000134,4.590000153,30546400,4.590000153
4/18/2019,43573,4.920000076,4.440000057,4.53000021,4.789999962,31206500,4.789999962
4/22/2019,43577,4.809999943,4.619999886,4.739999771,4.78000021,12936700,4.78000021
4/23/2019,43578,4.920000076,4.730000019,4.820000172,4.829999924,15107000,4.829999924
4/24/2019,43579,5.010000229,4.75,4.789999962,5,20401300,5
4/25/2019,43580,5.150000095,4.849999905,5.010000229,4.900000095,21552800,4.900000095
4/26/2019,43581,4.929999828,4.769999981,4.849999905,4.920000076,11891300,4.920000076
4/29/2019,43584,5.050000191,4.869999886,4.889999866,4.980000019,15202800,4.980000019
4/30/2019,43585,5.079999924,4.800000191,4.980000019,4.849999905,14434600,4.849999905
5/1/2019,43586,4.849999905,4.679999828,4.840000153,4.679999828,13308300,4.679999828
5/2/2019,43587,4.75,4.570000172,4.739999771,4.71999979,14080400,4.71999979
5/3/2019,43588,5.110000134,4.730000019,4.730000019,5.019999981,25245500,5.019999981
5/6/2019,43591,4.880000114,4.690000057,4.71999979,4.880000114,16144400,4.880000114
5/7/2019,43592,4.920000076,4.760000229,4.809999943,4.840000153,11545700,4.840000153
5/8/2019,43593,4.809999943,4.559999943,4.789999962,4.570000172,20456900,4.570000172
5/9/2019,43594,4.699999809,4.510000229,4.539999962,4.599999905,15759700,4.599999905
5/10/2019,43595,4.659999847,4.510000229,4.599999905,4.559999943,17146500,4.559999943
5/13/2019,43598,4.5,4.300000191,4.5,4.329999924,21804500,4.329999924
5/14/2019,43599,4.670000076,4.409999847,4.46999979,4.670000076,27925700,4.670000076
5/15/2019,43600,4.75,4.53000021,4.590000153,4.710000038,14669000,4.710000038
5/16/2019,43601,4.849999905,4.610000134,4.650000095,4.659999847,16198000,4.659999847
5/17/2019,43602,4.699999809,4.420000076,4.579999924,4.420000076,19775700,4.420000076
5/20/2019,43605,4.400000095,4.110000134,4.380000114,4.25,23571700,4.25
5/21/2019,43606,4.449999809,4.25,4.349999905,4.289999962,23435300,4.289999962
5/22/2019,43607,4.300000191,4,4.25,4.050000191,35451300,4.050000191
5/23/2019,43608,4.03000021,3.829999924,3.960000038,3.930000067,27855500,3.930000067
5/24/2019,43609,4.050000191,3.809999943,3.980000019,3.859999895,26069400,3.859999895
5/28/2019,43613,4.139999866,3.880000114,4.119999886,4,114474400,4
5/29/2019,43614,3.900000095,3.599999905,3.890000105,3.609999895,41690400,3.609999895
5/30/2019,43615,3.549999952,3.109999895,3.549999952,3.24000001,55942200,3.24000001
